recId;aut;title;place;publ;yea;lan;rubrics;person;serial;material;biblevel;ager
1;Устинова Татьяна Витальевна;Призрак Канта;Москва;Эксмо;2018;rus;Художественная литература : Российский детектив;;Татьяна Устинова. Первая среди лучших;Текст. материал;Монография;16+
2;;Наука и жизнь;Москва;Редакция журнала «Наука и жизнь»;1938-;rus;Наука. Науковедение;;;Текст. материал;Периодика;12+
3;;Наука и жизнь;;;2018;rus;Наука. Науковедение;;;Текст. материал;Монография;12+
4;;Наука и жизнь;;;2018;rus;Наука. Науковедение;;;Текст. материал;Монография;12+
5;;Наука и жизнь;;;2018;rus;Наука. Науковедение;;;Текст. материал;Монография;12+
6;Тараканов Борис Игоревич;Кольцо времени;Москва;АиФ Принт;2001;rus;Художественная литература : Фэнтэзи;;Черная звезда;Текст. материал;Монография;
8;;Фантастика-86;Москва;Молодая гвардия;1986;;Художественная литература;;;Текст. материал;Монография;
9;;Фантастика-90;Москва;Молодая гвардия;1990;;Художественная литература : Фантастика;;;Текст. материал;Монография;
10;Федотова Надежда Григорьевна;Вождей не выбирают;Москва;Армада , Альфа-книга;2005;rus;Художественная литература : Художественно-документальная проза. Мемуары;;;Текст. материал;Монография;
11;Федорова Екатерина;Леди-рыцарь;Москва;Армада , Альфа-книга;2002;rus;Художественная литература : Фантастика;;;Текст. материал;Монография;
12;Федотова Юлия Викторовна;Чисто семейное дело;Москва;Альфа-книга;2010;rus;Художественная литература : Фантастика;;Магия фэнтези;Текст. материал;Монография;
13;;Чистое небо;Москва;Эксмо;2008;rus;Художественная литература : Фантастика;;S.T.A.L.K.E.R.;Текст. материал;Монография;
14;Фомичев Алексей Сергеевич;Цель оправдывает средства;Москва;АСТ , Транзиткнига , АСТ Москва;2006;rus;Художественная литература : Фантастика;;;Текст. материал;Монография;
15;Фуртаева Наталья Ивановна;Однажды где-то...;Москва;Армада , Альфа-книга;2006;rus;Художественная литература;;;Текст. материал;Монография;
16;Фрумкин Сергей Аркадьевич;Новый Король Галактики;Москва;Армада , Альфа-книга;2001;rus;Художественная литература;;;Текст. материал;Монография;
17;;Фэнтези-2003;Москва;Эксмо;2003;rus;Художественная литература;;Миры fantasy;Текст. материал;Монография;
18;;Фэнтези-2005;Москва;Эксмо;2005;rus;Художественная литература;;Миры fantasy;Текст. материал;Монография;
19;;Фэнтези-2004;Москва;Эксмо;2004;;Художественная литература;;Миры fantasy;Текст. материал;Монография;
20;Стругацкий Аркадий Натанович;;;;1996;rus;Художественная литература;;;Текст. материал;Монография;
21;Стальнов Илья Александрович;Последний госпитальер;Москва;Эксмо;1997;rus;Художественная литература;;;Текст. материал;Монография;
23;Соколов Михаил Павлович;Властитель;Москва;АСТ;1999;rus;Художественная литература;;Звездный лабиринт;Текст. материал;Монография;
24;Снегов Сергей Александрович;;;;1997;rus;Художественная литература;;;Текст. материал;Монография;
25;Семенова Мария Васильевна;Поединок со Змеем;Санкт-Петербург;Азбука-классика;2008;rus;Художественная литература;;Азбука;Текст. материал;Монография;
26;Сорокин Дмитрий Игоревич;Оберег;Москва;Центрполиграф;2000;rus;Художественная литература;;Загадочная Русь;Текст. материал;Монография;
27;Стругацкий Аркадий Натанович;Хромая судьба , Хищные вещи века;Москва;Книга;1990;rus;Художественная литература;;;Текст. материал;Монография;
28;Стругацкий Аркадий Натанович;Попытка к бегству , Малыш , Волны гасят ветер;Москва;Эксмо;1997;rus;Художественная литература;;;Текст. материал;Монография;
29;Стругацкий Аркадий Натанович;;;;1989;rus;Художественная литература;;;Текст. материал;Монография;
30;Казаков Дмитрий Львович;Высшая раса;Санкт-Петербург;Крылов;2008;rus;Художественная литература;;Мужской клуб. Историческая альтернатива;Текст. материал;Монография;
31;Константинов Евгений Михайлович;Факультет рыболовной магии;Москва;Армада;2006;rus;Художественная литература;;Магия фэнтези;Текст. материал;Монография;
32;Курочкин Максим Иванович;Аниськин и снежный человек;Москва;Эксмо;2003;rus;Художественная литература;;Деревенский детектив;Текст. материал;Монография;
33;Круз Андрей;Рейтар;Москва;Эксмо;2013;rus;Художественная литература;;Новый фантастический боевик;Текст. материал;Монография;16+
34;;Новогодний Дозор;Москва;АСТ;2014;rus;Художественная литература;;Лучшая фантастика 2014;Текст. материал;Монография;
35;Орлов Алекс;Крылья огненных драконов;Москва;Армада , Альфа-книга;2006;rus;Художественная литература;;Магия фэнтези;Текст. материал;Монография;
36;Олди Генри Лайон;Пасынки восьмой заповеди , Ожидающий на перекрестках , Страх;Москва;Эксмо;1996;rus;Художественная литература;;Абсолютная магия;Текст. материал;Монография;
37;Олди Генри Лайон;Восставшие из рая , Живущий в последний раз , Ожидающий на перекрестках;Харьков : Донецк;Фолио , Сталкер;;rus;Художественная литература;;Новая русская фантастика;Текст. материал;Монография;
38;Оськин Максим Викторович;История Первой мировой войны;Москва;Вече;2014;rus;История в целом. Всемирная история;;Первая мировая, 1914-1918;Текст. материал;Монография;16+
39;Петров Василий Петрович;Оды , Письма в стихах , Разные стихотворения;Москва;Б.С.Г.-Пресс;2016;rus;Художественная литература;;Поэты Москвы;Текст. материал;Монография;16+
40;Лебедев Георгий Георгиевич;Московский Кремль;Москва;У Никитских ворот;2013;rus;Живопись;;;Текст. материал;Монография;
41;Корбалан Фернандо;Золотое сечение. Математический язык красоты;Москва;Де Агостини;2013;rus;Математика;;Мир математики;Текст. материал;Монография;12+
42;Арсеньев Борис Вячеславович;Москва-река. Века и вёрсты;Москва;Москвоведение;2014;rus;Краеведение. Страноведение. Путешествия. Путеводители;;Новый московский путеводитель;Текст. материал;Монография;12+
43;Синельников Михаил Исаакович;За перевалом;Москва;Галактика;2016;rus;Художественная литература;;;Текст. материал;Монография;
44;Маховская Ольга Ивановна;Позитивное воспитание. Как понять своего ребенка;Санкт-Петербург;Питер;2017;rus;Психология труда и профессиональной деятельности;;Родителям о детях;Текст. материал;Монография;12+
45;;Японская классическая поэзия;Москва;Эксмо;2017;;Художественная литература;;100 главных книг : Библиотека классической литературы;Текст. материал;Монография;16+
46;Свечин Николай;Завещание Аввакума. Происшествия из службы сыщика Алексея Лыкова и его друзей;Москва;Эксмо;2014;rus;Художественная литература;;Исторический детективъ Николая Свечина;Текст. материал;Монография;16+
47;Буль Пьер;Планета обезьян;Москва;Эксмо;2017;rus;Художественная литература;;Кинообложка;Текст. материал;Монография;16+
48;Экман Пол;Лгуны или фантазеры. Правда о детской лжи;Санкт-Петербург;Питер;2017;rus;Психология труда и профессиональной деятельности;;Родителям о детях;Текст. материал;Монография;12+
